"codEst";"codParam";"month";"day";"year";"dat"
"28079004";"07";"01";8;2016;18
"28079004";"07";"01";9;2016;21
"28079004";"07";"01";10;2016;22
"28079004";"07";"01";11;2016;18
"28079004";"07";"01";12;2016;189
"28079004";"07";"01";13;2016;204
"28079004";"07";"01";14;2016;202
"28079004";"07";"01";15;2016;132
"28079004";"07";"01";16;2016;122
"28079004";"07";"01";17;2016;137
"28079004";"07";"01";18;2016;167
"28079004";"07";"01";19;2016;153
"28079004";"07";"01";20;2016;95
"28079004";"07";"01";21;2016;17
"28079004";"07";"01";22;2016;15
"28079004";"07";"01";23;2016;16
"28079004";"07";"01";24;2016;72
"28079004";"07";"01";25;2016;116
"28079004";"07";"01";26;2016;122
"28079004";"07";"01";27;2016;68
"28079004";"07";"01";28;2016;23
"28079004";"07";"01";29;2016;10
"28079004";"07";"01";30;2016;23
"28079004";"07";"01";31;2016;57
"28079004";"07";"02";1;2016;69
"28079004";"07";"02";2;2016;174
"28079004";"07";"02";3;2016;197
"28079004";"07";"02";4;2016;183
"28079004";"07";"02";5;2016;135
"28079004";"07";"02";6;2016;143
"28079004";"07";"02";7;2016;171
"28079004";"07";"02";8;2016;148
"28079004";"07";"02";9;2016;135
"28079004";"07";"02";10;2016;127
"28079004";"07";"02";11;2016;136
"28079004";"07";"02";12;2016;67
"28079004";"07";"02";13;2016;20
"28079004";"07";"02";14;2016;11
"28079004";"07";"02";15;2016;19
"28079004";"07";"02";16;2016;15
"28079004";"07";"02";17;2016;10
"28079004";"07";"02";18;2016;39
"28079004";"07";"02";19;2016;28
"28079004";"07";"02";20;2016;12
"28079004";"07";"02";21;2016;8
"28079004";"07";"02";22;2016;12
"28079004";"07";"02";23;2016;79
"28079004";"07";"02";24;2016;89
"28079004";"07";"02";25;2016;159
"28079004";"07";"02";26;2016;136
"28079004";"07";"02";27;2016;39
"28079004";"07";"02";28;2016;21
"28079004";"07";"03";1;2016;18
"28079004";"07";"03";2;2016;39
"28079004";"07";"03";3;2016;67
"28079004";"07";"03";4;2016;45
"28079004";"07";"03";5;2016;43
"28079004";"07";"03";6;2016;92
"28079004";"07";"03";7;2016;92
"28079004";"07";"03";8;2016;44
"28079004";"07";"03";9;2016;41
"28079004";"07";"03";10;2016;84
"28079004";"07";"03";11;2016;86
"28079004";"07";"03";12;2016;14
"28079004";"07";"03";13;2016;8
"28079004";"07";"03";14;2016;17
"28079004";"07";"03";15;2016;7
"28079004";"07";"03";16;2016;9
"28079004";"07";"03";17;2016;34
"28079004";"07";"03";18;2016;0
"28079004";"07";"03";19;2016;44
"28079004";"07";"03";20;2016;66
"28079004";"07";"03";21;2016;21
"28079004";"07";"03";22;2016;13
"28079004";"07";"03";23;2016;17
"28079004";"07";"03";24;2016;19
"28079004";"07";"03";25;2016;30
"28079004";"07";"03";26;2016;22
"28079004";"07";"03";27;2016;6
"28079004";"07";"03";28;2016;10
"28079004";"07";"03";29;2016;13
"28079004";"07";"03";30;2016;15
"28079004";"07";"04";1;2016;88
"28079004";"07";"04";2;2016;63
"28079004";"07";"04";3;2016;41
"28079004";"07";"04";4;2016;24
"28079004";"07";"04";5;2016;48
"28079004";"07";"04";6;2016;32
"28079004";"07";"04";7;2016;82
"28079004";"07";"04";8;2016;85
"28079004";"07";"04";9;2016;53
"28079004";"07";"04";10;2016;26
"28079004";"07";"04";11;2016;7
"28079004";"07";"04";12;2016;15
"28079004";"07";"04";13;2016;52
"28079004";"07";"04";14;2016;65
"28079004";"07";"04";15;2016;10
"28079004";"07";"04";16;2016;9
"28079004";"07";"04";17;2016;7
"28079004";"07";"04";18;2016;11
"28079004";"07";"04";19;2016;8
"28079004";"07";"04";20;2016;12
"28079004";"07";"04";21;2016;5
"28079004";"07";"04";22;2016;4
"28079004";"07";"04";23;2016;8
"28079004";"07";"04";24;2016;5
"28079004";"07";"04";25;2016;11
"28079004";"07";"04";26;2016;0
"28079004";"07";"04";27;2016;19
"28079004";"07";"04";28;2016;17
"28079004";"07";"04";29;2016;13
"28079004";"07";"05";1;2016;10
"28079004";"07";"05";2;2016;9
"28079004";"07";"05";3;2016;26
"28079004";"07";"05";4;2016;30
"28079004";"07";"05";5;2016;54
"28079004";"07";"05";6;2016;15
"28079004";"07";"05";7;2016;9
"28079004";"07";"05";8;2016;14
"28079004";"07";"05";9;2016;40
"28079004";"07";"05";10;2016;16
"28079004";"07";"05";11;2016;23
"28079004";"07";"05";12;2016;41
"28079004";"07";"05";13;2016;14
"28079004";"07";"05";14;2016;20
"28079004";"07";"05";15;2016;11
"28079004";"07";"05";16;2016;11
"28079004";"07";"05";17;2016;16
"28079004";"07";"05";18;2016;27
"28079004";"07";"05";19;2016;15
"28079004";"07";"05";20;2016;33
"28079004";"07";"05";21;2016;18
"28079004";"07";"05";22;2016;20
"28079004";"07";"05";23;2016;24
"28079004";"07";"05";24;2016;20
"28079004";"07";"05";25;2016;17
"28079004";"07";"05";26;2016;29
"28079004";"07";"05";27;2016;10
"28079004";"07";"05";28;2016;21
"28079004";"07";"05";29;2016;5
"28079004";"07";"05";30;2016;10
"28079004";"07";"05";31;2016;7
"28079004";"07";"06";1;2016;6
"28079004";"07";"06";2;2016;6
"28079004";"07";"06";3;2016;8
"28079004";"07";"06";4;2016;15
"28079004";"07";"06";5;2016;5
"28079004";"07";"06";6;2016;12
"28079004";"07";"06";7;2016;8
"28079004";"07";"06";8;2016;8
"28079004";"07";"06";9;2016;13
"28079004";"07";"06";10;2016;15
"28079004";"07";"06";11;2016;27
"28079004";"07";"06";12;2016;25
"28079004";"07";"06";13;2016;22
"28079004";"07";"06";14;2016;28
"28079004";"07";"06";15;2016;40
"28079004";"07";"06";16;2016;14
"28079004";"07";"06";17;2016;22
"28079004";"07";"06";18;2016;11
"28079004";"07";"06";19;2016;16
"28079004";"07";"06";20;2016;27
"28079004";"07";"06";21;2016;33
"28079004";"07";"06";22;2016;28
"28079004";"07";"06";23;2016;10
"28079004";"07";"06";24;2016;15
"28079004";"07";"06";25;2016;18
"28079004";"07";"06";26;2016;16
"28079004";"07";"06";27;2016;13
"28079004";"07";"06";28;2016;31
"28079004";"07";"06";29;2016;12
"28079004";"07";"06";30;2016;12
"28079004";"07";"07";1;2016;18
"28079004";"07";"07";2;2016;49
"28079004";"07";"07";3;2016;27
"28079004";"07";"07";4;2016;15
"28079004";"07";"07";5;2016;20
"28079004";"07";"07";6;2016;9
"28079004";"07";"07";7;2016;12
"28079004";"07";"07";8;2016;13
"28079004";"07";"07";9;2016;14
"28079004";"07";"07";10;2016;5
"28079004";"07";"07";11;2016;29
"28079004";"07";"07";12;2016;15
"28079004";"07";"07";13;2016;8
"28079004";"07";"07";14;2016;9
"28079004";"07";"07";15;2016;10
"28079004";"07";"07";16;2016;21
"28079004";"07";"07";17;2016;8
"28079004";"07";"07";18;2016;15
"28079004";"07";"07";19;2016;11
"28079004";"07";"07";20;2016;14
"28079004";"07";"07";21;2016;39
"28079004";"07";"07";22;2016;11
"28079004";"07";"07";23;2016;9
"28079004";"07";"07";24;2016;7
"28079004";"07";"07";25;2016;9
"28079004";"07";"07";26;2016;40
"28079004";"07";"07";27;2016;13
"28079004";"07";"07";28;2016;15
"28079004";"07";"07";29;2016;17
"28079004";"07";"07";30;2016;12
"28079004";"07";"07";31;2016;5
"28079004";"07";"08";1;2016;13
"28079004";"07";"08";2;2016;6
"28079004";"07";"08";3;2016;14
"28079004";"07";"08";4;2016;21
"28079004";"07";"08";5;2016;14
"28079004";"07";"08";6;2016;5
"28079004";"07";"08";7;2016;6
"28079004";"07";"08";8;2016;7
"28079004";"07";"08";9;2016;7
"28079004";"07";"08";10;2016;10
"28079004";"07";"08";11;2016;17
"28079004";"07";"08";12;2016;19
"28079004";"07";"08";13;2016;8
"28079004";"07";"08";14;2016;9
"28079004";"07";"08";15;2016;14
"28079004";"07";"08";16;2016;51
"28079004";"07";"08";17;2016;38
"28079004";"07";"08";18;2016;33
"28079004";"07";"08";19;2016;32
"28079004";"07";"08";20;2016;10
"28079004";"07";"08";21;2016;5
"28079004";"07";"08";22;2016;8
"28079004";"07";"08";23;2016;18
"28079004";"07";"08";24;2016;5
"28079004";"07";"08";25;2016;25
"28079004";"07";"08";26;2016;9
"28079004";"07";"08";27;2016;16
"28079004";"07";"08";28;2016;8
"28079004";"07";"08";29;2016;38
"28079004";"07";"08";30;2016;29
"28079004";"07";"08";31;2016;8
"28079004";"07";"09";1;2016;16
"28079004";"07";"09";2;2016;6
"28079004";"07";"09";3;2016;11
"28079004";"07";"09";4;2016;7
"28079004";"07";"09";5;2016;22
"28079004";"07";"09";6;2016;27
"28079004";"07";"09";7;2016;79
"28079004";"07";"09";8;2016;53
"28079004";"07";"09";9;2016;63
"28079004";"07";"09";10;2016;40
"28079004";"07";"09";11;2016;11
"28079004";"07";"09";12;2016;61
"28079004";"07";"09";13;2016;81
"28079004";"07";"09";14;2016;26
"28079004";"07";"09";15;2016;38
"28079004";"07";"09";16;2016;30
"28079004";"07";"09";17;2016;27
"28079004";"07";"09";18;2016;9
"28079004";"07";"09";19;2016;28
"28079004";"07";"09";20;2016;68
"28079004";"07";"09";21;2016;77
"28079004";"07";"09";22;2016;81
"28079004";"07";"09";23;2016;48
"28079004";"07";"09";24;2016;8
"28079004";"07";"09";25;2016;46
"28079004";"07";"09";26;2016;70
"28079004";"07";"09";27;2016;73
"28079004";"07";"09";28;2016;72
"28079004";"07";"09";29;2016;75
"28079004";"07";"09";30;2016;57
"28079004";"07";"10";1;2016;18
"28079004";"07";"10";2;2016;27
"28079004";"07";"10";3;2016;81
"28079004";"07";"10";4;2016;110
"28079004";"07";"10";5;2016;108
"28079004";"07";"10";6;2016;101
"28079004";"07";"10";7;2016;28
"28079004";"07";"10";8;2016;13
"28079004";"07";"10";9;2016;35
"28079004";"07";"10";10;2016;124
"28079004";"07";"10";11;2016;148
"28079004";"07";"10";12;2016;149
"28079004";"07";"10";13;2016;192
"28079004";"07";"10";14;2016;158
"28079004";"07";"10";15;2016;98
"28079004";"07";"10";16;2016;80
"28079004";"07";"10";17;2016;91
"28079004";"07";"10";18;2016;92
"28079004";"07";"10";19;2016;92
"28079004";"07";"10";20;2016;13
"28079004";"07";"10";21;2016;74
"28079004";"07";"10";22;2016;67
"28079004";"07";"10";23;2016;31
"28079004";"07";"10";24;2016;17
"28079004";"07";"10";25;2016;9
"28079004";"07";"10";26;2016;36
"28079004";"07";"10";27;2016;23
"28079004";"07";"10";28;2016;24
"28079004";"07";"10";29;2016;40
"28079004";"07";"10";30;2016;76
"28079004";"07";"10";31;2016;78
"28079004";"07";"11";1;2016;53
"28079004";"07";"11";2;2016;30
"28079004";"07";"11";3;2016;17
"28079004";"07";"11";4;2016;26
"28079004";"07";"11";5;2016;18
"28079004";"07";"11";6;2016;18
"28079004";"07";"11";7;2016;90
"28079004";"07";"11";8;2016;58
"28079004";"07";"11";9;2016;61
"28079004";"07";"11";10;2016;89
"28079004";"07";"11";11;2016;109
"28079004";"07";"11";12;2016;50
"28079004";"07";"11";13;2016;13
"28079004";"07";"11";14;2016;16
"28079004";"07";"11";15;2016;35
"28079004";"07";"11";16;2016;42
"28079004";"07";"11";17;2016;62
"28079004";"07";"11";18;2016;34
"28079004";"07";"11";19;2016;18
"28079004";"07";"11";20;2016;35
"28079004";"07";"11";21;2016;28
"28079004";"07";"11";22;2016;47
"28079004";"07";"11";23;2016;22
"28079004";"07";"11";24;2016;109
"28079004";"07";"11";25;2016;148
"28079004";"07";"11";26;2016;105
"28079004";"07";"11";27;2016;107
"28079004";"07";"11";28;2016;147
"28079004";"07";"11";29;2016;169
"28079004";"07";"11";30;2016;171
"28079004";"07";"12";1;2016;139
"28079004";"07";"12";2;2016;23
"28079004";"07";"12";3;2016;100
"28079004";"07";"12";4;2016;90
"28079004";"07";"12";5;2016;110
"28079004";"07";"12";6;2016;48
"28079004";"07";"12";7;2016;147
"28079004";"07";"12";8;2016;165
"28079004";"07";"12";9;2016;132
"28079004";"07";"12";10;2016;66
"28079004";"07";"12";11;2016;25
"28079004";"07";"12";12;2016;16
"28079004";"07";"12";13;2016;10
"28079004";"07";"12";14;2016;11
"28079004";"07";"12";15;2016;18
"28079004";"07";"12";16;2016;13
"28079004";"07";"12";17;2016;23
"28079004";"07";"12";18;2016;32
"28079004";"07";"12";19;2016;84
"28079004";"07";"12";20;2016;184
"28079004";"07";"12";21;2016;329
"28079004";"07";"12";22;2016;256
"28079004";"07";"12";23;2016;244
"28079004";"07";"12";24;2016;66
"28079004";"07";"12";25;2016;114
"28079004";"07";"12";26;2016;145
"28079004";"07";"12";27;2016;165
"28079004";"07";"12";28;2016;156
"28079004";"07";"12";29;2016;64
"28079004";"07";"12";30;2016;118
"28079004";"07";"12";31;2016;152
"28079004";"08";"01";1;2016;36
"28079004";"08";"01";2;2016;52
"28079004";"08";"01";3;2016;54
"28079004";"08";"01";4;2016;38
"28079004";"08";"01";5;2016;47
"28079004";"08";"01";6;2016;34
"28079004";"08";"01";7;2016;39
"28079004";"08";"01";8;2016;42
"28079004";"08";"01";9;2016;36
"28079004";"08";"01";10;2016;38
"28079004";"08";"01";11;2016;36
"28079004";"08";"01";12;2016;84
"28079004";"08";"01";13;2016;74
"28079004";"08";"01";14;2016;78
"28079004";"08";"01";15;2016;61
"28079004";"08";"01";16;2016;59
"28079004";"08";"01";17;2016;66
"28079004";"08";"01";18;2016;77
"28079004";"08";"01";19;2016;70
"28079004";"08";"01";20;2016;54
"28079004";"08";"01";21;2016;37
"28079004";"08";"01";22;2016;34
"28079004";"08";"01";23;2016;30
"28079004";"08";"01";24;2016;58
"28079004";"08";"01";25;2016;72
"28079004";"08";"01";26;2016;72
"28079004";"08";"01";27;2016;62
"28079004";"08";"01";28;2016;45
"28079004";"08";"01";29;2016;27
"28079004";"08";"01";30;2016;45
"28079004";"08";"01";31;2016;53
"28079004";"08";"02";1;2016;57
"28079004";"08";"02";2;2016;94
"28079004";"08";"02";3;2016;95
"28079004";"08";"02";4;2016;86
"28079004";"08";"02";5;2016;77
"28079004";"08";"02";6;2016;79
"28079004";"08";"02";7;2016;86
"28079004";"08";"02";8;2016;83
"28079004";"08";"02";9;2016;80
"28079004";"08";"02";10;2016;78
"28079004";"08";"02";11;2016;77
"28079004";"08";"02";12;2016;50
"28079004";"08";"02";13;2016;38
"28079004";"08";"02";14;2016;29
"28079004";"08";"02";15;2016;41
"28079004";"08";"02";16;2016;38
"28079004";"08";"02";17;2016;31
"28079004";"08";"02";18;2016;48
"28079004";"08";"02";19;2016;50
"28079004";"08";"02";20;2016;31
"28079004";"08";"02";21;2016;26
"28079004";"08";"02";22;2016;30
"28079004";"08";"02";23;2016;66
"28079004";"08";"02";24;2016;64
"28079004";"08";"02";25;2016;77
"28079004";"08";"02";26;2016;74
"28079004";"08";"02";27;2016;57
"28079004";"08";"02";28;2016;55
"28079004";"08";"03";1;2016;53
"28079004";"08";"03";2;2016;60
"28079004";"08";"03";3;2016;65
"28079004";"08";"03";4;2016;71
"28079004";"08";"03";5;2016;79
"28079004";"08";"03";6;2016;75
"28079004";"08";"03";7;2016;81
"28079004";"08";"03";8;2016;85
"28079004";"08";"03";9;2016;77
"28079004";"08";"03";10;2016;72
"28079004";"08";"03";11;2016;61
"28079004";"08";"03";12;2016;36
"28079004";"08";"03";13;2016;26
"28079004";"08";"03";14;2016;42
"28079004";"08";"03";15;2016;26
"28079004";"08";"03";16;2016;32
"28079004";"08";"03";17;2016;47
"28079004";"08";"03";18;2016;0
"28079004";"08";"03";19;2016;41
"28079004";"08";"03";20;2016;52
"28079004";"08";"03";21;2016;33
"28079004";"08";"03";22;2016;30
"28079004";"08";"03";23;2016;33
"28079004";"08";"03";24;2016;41
"28079004";"08";"03";25;2016;48
"28079004";"08";"03";26;2016;25
"28079004";"08";"03";27;2016;7
"28079004";"08";"03";28;2016;18
"28079004";"08";"03";29;2016;23
"28079004";"08";"03";30;2016;35
"28079004";"08";"04";1;2016;78
"28079004";"08";"04";2;2016;75
"28079004";"08";"04";3;2016;52
"28079004";"08";"04";4;2016;51
"28079004";"08";"04";5;2016;62
"28079004";"08";"04";6;2016;65
"28079004";"08";"04";7;2016;82
"28079004";"08";"04";8;2016;90
"28079004";"08";"04";9;2016;62
"28079004";"08";"04";10;2016;47
"28079004";"08";"04";11;2016;31
"28079004";"08";"04";12;2016;45
"28079004";"08";"04";13;2016;73
"28079004";"08";"04";14;2016;83
"28079004";"08";"04";15;2016;44
"28079004";"08";"04";16;2016;38
"28079004";"08";"04";17;2016;37
"28079004";"08";"04";18;2016;47
"28079004";"08";"04";19;2016;40
"28079004";"08";"04";20;2016;42
"28079004";"08";"04";21;2016;34
"28079004";"08";"04";22;2016;30
"28079004";"08";"04";23;2016;38
"28079004";"08";"04";24;2016;18
"28079004";"08";"04";25;2016;29
"28079004";"08";"04";26;2016;0
"28079004";"08";"04";27;2016;53
"28079004";"08";"04";28;2016;52
"28079004";"08";"04";29;2016;47
"28079004";"08";"05";1;2016;34
"28079004";"08";"05";2;2016;39
"28079004";"08";"05";3;2016;47
"28079004";"08";"05";4;2016;51
"28079004";"08";"05";5;2016;72
"28079004";"08";"05";6;2016;47
"28079004";"08";"05";7;2016;37
"28079004";"08";"05";8;2016;36
"28079004";"08";"05";9;2016;59
"28079004";"08";"05";10;2016;56
"28079004";"08";"05";11;2016;52
"28079004";"08";"05";12;2016;60
"28079004";"08";"05";13;2016;47
"28079004";"08";"05";14;2016;44
"28079004";"08";"05";15;2016;22
"28079004";"08";"05";16;2016;39
"28079004";"08";"05";17;2016;51
"28079004";"08";"05";18;2016;49
"28079004";"08";"05";19;2016;44
"28079004";"08";"05";20;2016;46
"28079004";"08";"05";21;2016;52
"28079004";"08";"05";22;2016;55
"28079004";"08";"05";23;2016;59
"28079004";"08";"05";24;2016;60
"28079004";"08";"05";25;2016;65
"28079004";"08";"05";26;2016;55
"28079004";"08";"05";27;2016;41
"28079004";"08";"05";28;2016;35
"28079004";"08";"05";29;2016;32
"28079004";"08";"05";30;2016;35
"28079004";"08";"05";31;2016;28
"28079004";"08";"06";1;2016;23
"28079004";"08";"06";2;2016;24
"28079004";"08";"06";3;2016;35
"28079004";"08";"06";4;2016;50
"28079004";"08";"06";5;2016;35
"28079004";"08";"06";6;2016;51
"28079004";"08";"06";7;2016;40
"28079004";"08";"06";8;2016;33
"28079004";"08";"06";9;2016;41
"28079004";"08";"06";10;2016;47
"28079004";"08";"06";11;2016;45
"28079004";"08";"06";12;2016;40
"28079004";"08";"06";13;2016;57
"28079004";"08";"06";14;2016;52
"28079004";"08";"06";15;2016;66
"28079004";"08";"06";16;2016;46
"28079004";"08";"06";17;2016;48
"28079004";"08";"06";18;2016;43
"28079004";"08";"06";19;2016;52
"28079004";"08";"06";20;2016;59
"28079004";"08";"06";21;2016;56
"28079004";"08";"06";22;2016;53
"28079004";"08";"06";23;2016;46
"28079004";"08";"06";24;2016;51
"28079004";"08";"06";25;2016;59
"28079004";"08";"06";26;2016;51
"28079004";"08";"06";27;2016;51
"28079004";"08";"06";28;2016;61
"28079004";"08";"06";29;2016;37
"28079004";"08";"06";30;2016;46
"28079004";"08";"07";1;2016;56
"28079004";"08";"07";2;2016;74
"28079004";"08";"07";3;2016;47
"28079004";"08";"07";4;2016;55
"28079004";"08";"07";5;2016;60
"28079004";"08";"07";6;2016;39
"28079004";"08";"07";7;2016;43
"28079004";"08";"07";8;2016;37
"28079004";"08";"07";9;2016;31
"28079004";"08";"07";10;2016;33
"28079004";"08";"07";11;2016;61
"28079004";"08";"07";12;2016;49
"28079004";"08";"07";13;2016;24
"28079004";"08";"07";14;2016;38
"28079004";"08";"07";15;2016;43
"28079004";"08";"07";16;2016;54
"28079004";"08";"07";17;2016;28
"28079004";"08";"07";18;2016;34
"28079004";"08";"07";19;2016;26
"28079004";"08";"07";20;2016;41
"28079004";"08";"07";21;2016;53
"28079004";"08";"07";22;2016;30
"28079004";"08";"07";23;2016;28
"28079004";"08";"07";24;2016;18
"28079004";"08";"07";25;2016;21
"28079004";"08";"07";26;2016;56
"28079004";"08";"07";27;2016;31
"28079004";"08";"07";28;2016;44
"28079004";"08";"07";29;2016;47
"28079004";"08";"07";30;2016;46
"28079004";"08";"07";31;2016;24
"28079004";"08";"08";1;2016;49
"28079004";"08";"08";2;2016;24
"28079004";"08";"08";3;2016;44
"28079004";"08";"08";4;2016;59
"28079004";"08";"08";5;2016;47
"28079004";"08";"08";6;2016;25
"28079004";"08";"08";7;2016;20
"28079004";"08";"08";8;2016;28
"28079004";"08";"08";9;2016;25
"28079004";"08";"08";10;2016;36
"28079004";"08";"08";11;2016;46
"28079004";"08";"08";12;2016;55
"28079004";"08";"08";13;2016;31
"28079004";"08";"08";14;2016;39
"28079004";"08";"08";15;2016;43
"28079004";"08";"08";16;2016;67
"28079004";"08";"08";17;2016;60
"28079004";"08";"08";18;2016;60
"28079004";"08";"08";19;2016;60
"28079004";"08";"08";20;2016;43
"28079004";"08";"08";21;2016;28
"28079004";"08";"08";22;2016;27
"28079004";"08";"08";23;2016;37
"28079004";"08";"08";24;2016;33
"28079004";"08";"08";25;2016;46
"28079004";"08";"08";26;2016;28
"28079004";"08";"08";27;2016;39
"28079004";"08";"08";28;2016;33
"28079004";"08";"08";29;2016;52
"28079004";"08";"08";30;2016;51
"28079004";"08";"08";31;2016;30
"28079004";"08";"09";1;2016;33
"28079004";"08";"09";2;2016;27
"28079004";"08";"09";3;2016;37
"28079004";"08";"09";4;2016;27
"28079004";"08";"09";5;2016;43
"28079004";"08";"09";6;2016;49
"28079004";"08";"09";7;2016;81
"28079004";"08";"09";8;2016;78
"28079004";"08";"09";9;2016;74
"28079004";"08";"09";10;2016;57
"28079004";"08";"09";11;2016;40
"28079004";"08";"09";12;2016;68
"28079004";"08";"09";13;2016;80
"28079004";"08";"09";14;2016;53
"28079004";"08";"09";15;2016;53
"28079004";"08";"09";16;2016;59
"28079004";"08";"09";17;2016;50
"28079004";"08";"09";18;2016;32
"28079004";"08";"09";19;2016;39
"28079004";"08";"09";20;2016;73
"28079004";"08";"09";21;2016;78
"28079004";"08";"09";22;2016;82
"28079004";"08";"09";23;2016;62
"28079004";"08";"09";24;2016;35
"28079004";"08";"09";25;2016;62
"28079004";"08";"09";26;2016;84
"28079004";"08";"09";27;2016;85
"28079004";"08";"09";28;2016;84
"28079004";"08";"09";29;2016;75
"28079004";"08";"09";30;2016;66
"28079004";"08";"10";1;2016;44
"28079004";"08";"10";2;2016;49
"28079004";"08";"10";3;2016;90
"28079004";"08";"10";4;2016;95
"28079004";"08";"10";5;2016;99
"28079004";"08";"10";6;2016;87
"28079004";"08";"10";7;2016;36
"28079004";"08";"10";8;2016;26
"28079004";"08";"10";9;2016;38
"28079004";"08";"10";10;2016;79
"28079004";"08";"10";11;2016;95
"28079004";"08";"10";12;2016;91
"28079004";"08";"10";13;2016;112
"28079004";"08";"10";14;2016;103
"28079004";"08";"10";15;2016;72
"28079004";"08";"10";16;2016;71
"28079004";"08";"10";17;2016;70
"28079004";"08";"10";18;2016;77
"28079004";"08";"10";19;2016;76
"28079004";"08";"10";20;2016;29
"28079004";"08";"10";21;2016;62
"28079004";"08";"10";22;2016;59
"28079004";"08";"10";23;2016;38
"28079004";"08";"10";24;2016;42
"28079004";"08";"10";25;2016;30
"28079004";"08";"10";26;2016;48
"28079004";"08";"10";27;2016;44
"28079004";"08";"10";28;2016;38
"28079004";"08";"10";29;2016;39
"28079004";"08";"10";30;2016;45
"28079004";"08";"10";31;2016;49
"28079004";"08";"11";1;2016;49
"28079004";"08";"11";2;2016;47
"28079004";"08";"11";3;2016;39
"28079004";"08";"11";4;2016;49
"28079004";"08";"11";5;2016;38
"28079004";"08";"11";6;2016;42
"28079004";"08";"11";7;2016;62
"28079004";"08";"11";8;2016;53
"28079004";"08";"11";9;2016;53
"28079004";"08";"11";10;2016;53
"28079004";"08";"11";11;2016;60
"28079004";"08";"11";12;2016;42
"28079004";"08";"11";13;2016;36
"28079004";"08";"11";14;2016;42
"28079004";"08";"11";15;2016;50
"28079004";"08";"11";16;2016;43
"28079004";"08";"11";17;2016;52
"28079004";"08";"11";18;2016;57
"28079004";"08";"11";19;2016;45
"28079004";"08";"11";20;2016;47
"28079004";"08";"11";21;2016;41
"28079004";"08";"11";22;2016;43
"28079004";"08";"11";23;2016;39
"28079004";"08";"11";24;2016;59
"28079004";"08";"11";25;2016;62
"28079004";"08";"11";26;2016;58
